institution,period,table_type,table_title,section_no,line_no,row_lvl1,row_lvl2,row_lvl3,row_lvl4,row_lvl5,row_depth,col_lvl1,col_lvl2,col_depth,value_num,value_raw,cell_state,is_shade,colspan,concept_key,geo_key,row_header_id,col_header_id,doc_id,table_id,row_id,col_id,row_hierarchy
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,1,ASF Item,Capital:,,,,2,Unweighted value by residual maturity,No Maturity,2,65326.0,"65,326",reported,0,1,asf_capital,,2,1,dbs_4q23_p3,nsfr_dec23,2,1,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,1,ASF Item,Capital:,,,,2,Unweighted value by residual maturity,< 6 months,2,,-,null,0,1,asf_capital,,2,2,dbs_4q23_p3,nsfr_dec23,2,2,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,1,ASF Item,Capital:,,,,2,Unweighted value by residual maturity,6 months to <1 yr,2,,-,null,0,1,asf_capital,,2,3,dbs_4q23_p3,nsfr_dec23,2,3,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,1,ASF Item,Capital:,,,,2,Unweighted value by residual maturity,≥ 1yr,2,,-,null,0,1,asf_capital,,2,4,dbs_4q23_p3,nsfr_dec23,2,4,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,1,ASF Item,Capital:,,,,2,Weighted value,,1,65326.0,"65,326",reported,0,1,asf_capital,,2,5,dbs_4q23_p3,nsfr_dec23,2,5,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,2,ASF Item,Capital:,Regulatory capital,,,3,Unweighted value by residual maturity,No Maturity,2,65194.0,"65,194",reported,0,1,asf_capital_reg,,3,1,dbs_4q23_p3,nsfr_dec23,3,1,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,2,ASF Item,Capital:,Regulatory capital,,,3,Unweighted value by residual maturity,< 6 months,2,,-,null,0,1,asf_capital_reg,,3,2,dbs_4q23_p3,nsfr_dec23,3,2,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,2,ASF Item,Capital:,Regulatory capital,,,3,Unweighted value by residual maturity,6 months to <1 yr,2,,-,null,0,1,asf_capital_reg,,3,3,dbs_4q23_p3,nsfr_dec23,3,3,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,2,ASF Item,Capital:,Regulatory capital,,,3,Unweighted value by residual maturity,≥ 1yr,2,,-,null,0,1,asf_capital_reg,,3,4,dbs_4q23_p3,nsfr_dec23,3,4,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,2,ASF Item,Capital:,Regulatory capital,,,3,Weighted value,,1,65194.0,"65,194",reported,0,1,asf_capital_reg,,3,5,dbs_4q23_p3,nsfr_dec23,3,5,2
