institution,period,table_type,table_title,section_no,line_no,row_lvl1,row_lvl2,row_lvl3,row_lvl4,row_lvl5,row_depth,col_lvl1,col_lvl2,col_depth,value_num,value_raw,cell_state,is_shade,colspan,concept_key,geo_key,row_header_id,col_header_id,doc_id,table_id,row_id,col_id,row_hierarchy
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,1,ASF Item,Capital:,,,,2,Unweighted value by residual maturity,No Maturity,2,52898.0,"52,898",reported,0,1,asf_capital,,2,1,ocbc_4q24_p3,nsfr_dec24,2,1,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,1,ASF Item,Capital:,,,,2,Unweighted value by residual maturity,< 6 months,2,,-,null,0,1,asf_capital,,2,2,ocbc_4q24_p3,nsfr_dec24,2,2,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,1,ASF Item,Capital:,,,,2,Unweighted value by residual maturity,6 months to <1 yr,2,1326.0,"1,326",reported,0,1,asf_capital,,2,3,ocbc_4q24_p3,nsfr_dec24,2,3,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,1,ASF Item,Capital:,,,,2,Unweighted value by residual maturity,≥ 1yr,2,4699.0,"4,699",reported,0,1,asf_capital,,2,4,ocbc_4q24_p3,nsfr_dec24,2,4,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,1,ASF Item,Capital:,,,,2,Weighted value,,1,58260.0,"58,260",reported,0,1,asf_capital,,2,5,ocbc_4q24_p3,nsfr_dec24,2,5,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,2,ASF Item,Capital:,Regulatory capital,,,3,Unweighted value by residual maturity,No Maturity,2,52898.0,"52,898",reported,0,1,asf_capital_reg,,3,1,ocbc_4q24_p3,nsfr_dec24,3,1,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,2,ASF Item,Capital:,Regulatory capital,,,3,Unweighted value by residual maturity,< 6 months,2,,-,null,0,1,asf_capital_reg,,3,2,ocbc_4q24_p3,nsfr_dec24,3,2,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,2,ASF Item,Capital:,Regulatory capital,,,3,Unweighted value by residual maturity,6 months to <1 yr,2,,-,null,0,1,asf_capital_reg,,3,3,ocbc_4q24_p3,nsfr_dec24,3,3,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,2,ASF Item,Capital:,Regulatory capital,,,3,Unweighted value by residual maturity,≥ 1yr,2,4699.0,"4,699",reported,0,1,asf_capital_reg,,3,4,ocbc_4q24_p3,nsfr_dec24,3,4,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,2,ASF Item,Capital:,Regulatory capital,,,3,Weighted value,,1,57597.0,"57,597",reported,0,1,asf_capital_reg,,3,5,ocbc_4q24_p3,nsfr_dec24,3,5,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,3,ASF Item,Capital:,Other capital instruments,,,3,Unweighted value by residual maturity,No Maturity,2,,-,null,0,1,asf_capital_other,,4,1,ocbc_4q24_p3,nsfr_dec24,4,1,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,3,ASF Item,Capital:,Other capital instruments,,,3,Unweighted value by residual maturity,< 6 months,2,,-,null,0,1,asf_capital_other,,4,2,ocbc_4q24_p3,nsfr_dec24,4,2,2
