bank,table,status,detail,G1_ghosts,G2_date_ids,G3_tagged,G3_untagged,G3_coverage,G3_active,G3_printed,G4_suffix,G5_unresolved_nonref
DBS,FS_INCOME_SELECTED,PASS,,0,0,21,0,100%,21,21,0,18
DBS,FS_BALANCE_SELECTED[panel_1],PASS,,0,0,15,0,100%,5,15,0,41
DBS,FS_BALANCE_SELECTED[panel_2],PASS,,0,0,8,0,100%,8,8,0,12
DBS,FS_RATIOS_KEY,PASS,,0,0,12,0,100%,12,12,0,1
DBS,FS_PER_SHARE,PASS,,0,0,5,0,100%,5,5,0,8
DBS,FS_NII_DETAIL,PASS,,0,0,8,0,100%,8,8,0,11
DBS,FS_AVG_BALANCE_SHEET,PASS,,0,0,18,0,100%,9,9,0,0
DBS,FS_VOLUME_RATE[panel_1],PASS,,0,0,11,0,100%,11,11,0,0
DBS,FS_VOLUME_RATE[panel_2],PASS,,0,0,11,0,100%,11,11,0,0
DBS,FS_FEE_DETAIL,PASS,,0,0,8,0,100%,8,8,0,0
DBS,FS_OTHER_NONII_DETAIL,PASS,,0,0,9,0,100%,8,9,0,2
DBS,FS_EXPENSES_DETAIL,PASS,,0,0,8,0,100%,8,8,0,1
DBS,FS_ALLOWANCES_DETAIL,PASS,,0,0,11,0,100%,11,11,0,4
DBS,FS_PERF_BY_SEGMENT,PASS,,0,0,45,0,100%,9,45,0,0
DBS,FS_PERF_BY_GEOGRAPHY,FAIL,G4 suffix-collapsible ids=11,0,0,55,0,100%,22,33,11,0
DBS,FS_CUSTOMER_LOANS,PASS,,0,0,30,0,100%,30,30,0,0
DBS,FS_NPA_COVERAGE[panel_1],PASS,,0,0,18,0,100%,18,18,0,0
DBS,FS_NPA_COVERAGE[by_industry],PASS,,0,0,11,0,100%,11,11,0,62
DBS,FS_NPA_COVERAGE[by_loan_grading],PASS,,0,0,8,0,100%,7,8,0,62
DBS,FS_NPA_COVERAGE[by_collateral_type],PASS,,0,0,6,0,100%,6,6,0,62
DBS,FS_CUSTOMER_DEPOSITS,PASS,,0,0,35,0,100%,30,35,0,37
DBS,FS_DEBTS_ISSUED,PASS,,0,0,10,0,100%,9,10,0,1
