page,table_idx,x0,y0,x1,y1
4,0,68.55,97.11,546.89,632.12
5,0,69.51,92.8,543.34,495.9
6,0,70.44,87.56,549.8,730.99
7,0,70.36,91.98,576.38,715.64
8,0,70.6,92.65,579.22,719.11
9,0,70.54,101.46,540.49,523.23
10,0,69.59,83.69,541.24,741.25
13,0,85.23,340.51,542.08,498.68
14,0,85.2,106.89,541.98,285.26
14,1,85.43,339.7,541.75,452.22
14,2,85.09,496.62,541.89,599.38
14,3,85.57,642.69,541.83,734.74
15,0,83.09,106.63,541.36,290.96
15,1,85.34,330.9,538.84,574.46
16,0,75.48,94.05,541.63,220.12
16,1,82.8,266.47,541.9,442.49
16,2,82.92,481.35,541.47,560.62
17,0,83.73,174.12,540.01,606.48
18,0,83.65,136.19,539.94,582.43
19,0,83.89,132.28,544.5,496.05
21,0,83.47,135.49,541.11,443.89
21,1,83.19,468.3,538.51,576.23
24,0,83.64,170.55,546.2,496.46
25,0,83.7,171.05,540.61,383.18
25,1,83.43,413.17,540.6,602.32
26,0,82.76,157.45,539.07,303.11
26,1,82.77,320.3,538.77,477.25
26,2,82.39,502.26,538.01,688.03
27,0,82.98,147.77,538.77,309.01
33,0,70.36,133.25,525.7,562.24
