check,detail
flow_as_at,OCBC_4Q25_Condensed_Financial_Statements/loans_to_customers_loans_to_customers_2025-12-31 row4: 'Non-impaired loans' stamped pnl.provisions.stage12_gp (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,OCBC_4Q25_Condensed_Financial_Statements/loans_to_customers_loans_to_customers_2025-12-31 row4: 'Non-impaired loans' stamped pnl.provisions.stage12_gp (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,UOB_4Q25_condensed-financial-statements/customer_loans_customer_loans_2025-12-31 row2: 'Less: General allowance' stamped pnl.provisions.stage12_gp (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,UOB_4Q25_condensed-financial-statements/customer_loans_customer_loans_2025-12-31 row2: 'Less: General allowance' stamped pnl.provisions.stage12_gp (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,UOB_4Q25_condensed-financial-statements/customer_loans_customer_loans_2025-12-31 row2: 'Less: General allowance' stamped pnl.provisions.stage12_gp (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,UOB_4Q25_condensed-financial-statements/customer_loans_customer_loans_2025-12-31 row3: 'Specific allowance' stamped pnl.provisions.stage3_sp (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,UOB_4Q25_condensed-financial-statements/customer_loans_customer_loans_2025-12-31 row3: 'Specific allowance' stamped pnl.provisions.stage3_sp (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,UOB_4Q25_condensed-financial-statements/customer_loans_customer_loans_2025-12-31 row3: 'Specific allowance' stamped pnl.provisions.stage3_sp (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,UOB_4Q25_condensed-financial-statements/non_performing_assets_non_performing_assets_2025-12-31 row25: 'General' stamped pnl.provisions.stage12_gp (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,UOB_4Q25_condensed-financial-statements/non_performing_assets_non_performing_assets_2025-12-31 row25: 'General' stamped pnl.provisions.stage12_gp (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,UOB_4Q25_condensed-financial-statements/non_performing_assets_non_performing_assets_2025-12-31 row25: 'General' stamped pnl.provisions.stage12_gp (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,UOB_4Q25_condensed-financial-statements/non_performing_assets_non_performing_assets_2025-12-31 row26: 'Specific' stamped pnl.provisions.stage3_sp (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
