institution,concept_key,concept_name,period,period_span,segment_key,geo_key,industry_key,legal_entity,n_candidates,competing_values,competing_sources,chosen_value
DBS Group Holdings Ltd,bs.assets.npa,Non-performing assets / loans,2022-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,25,2746 | 2955 | 5491 | 5908,"2746@tier9:by_industry,non_performing_assets_and_loss_allowance_coverage || 2955@tier9:by_industry,non_performing_assets_and_loss_allowance_coverage || 5491@tier9:by_industry,non_performing_assets_and_loss_allowance_coverage || 5908@tier9:by_collateral_type,by_industry,non_performing_assets_and_loss_allowance_coverage",5908.0
DBS Group Holdings Ltd,bs.assets.npa,Non-performing assets / loans,2021-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,25,2545 | 2926 | 5290 | 5849,"2545@tier9:by_industry,non_performing_assets_and_loss_allowance_coverage || 2926@tier9:by_industry,non_performing_assets_and_loss_allowance_coverage || 5290@tier9:by_industry,non_performing_assets_and_loss_allowance_coverage || 5849@tier9:by_collateral_type,by_industry,non_performing_assets_and_loss_allowance_coverage",5849.0
DBS Group Holdings Ltd,bs.assets.npa,Non-performing assets / loans,2021-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,21,2835 | 3156 | 6091 | 6621,"2835@tier9:by_industry,non_performing_assets_and_loss_allowance_coverage || 3156@tier9:by_industry,non_performing_assets_and_loss_allowance_coverage || 6091@tier9:by_industry,non_performing_assets_and_loss_allowance_coverage || 6621@tier9:by_collateral_type,by_industry,non_performing_assets_and_loss_allowance_coverage",6621.0
DBS Group Holdings Ltd,bs.liabilities.deposits_casa,CASA deposits,2025-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,21,32 | 2393 | 5649 | 6123 | 7679 | 8852 | 9925 | 9941 | 24791 | 39556 | 45294 | 109308 | 140565 | 191492,32@tier9:customer_deposits || 2393@tier9:customer_deposits || 5649@tier9:customer_deposits || 6123@tier9:customer_deposits || 7679@tier9:customer_deposits || 8852@tier9:customer_deposits || 9925@tier9:customer_deposits || 9941@tier9:customer_deposits || 24791@tier9:customer_deposits || 39556@tier9:customer_deposits || 45294@tier9:customer_deposits || 109308@tier9:customer_deposits || 140565@tier9:customer_deposits || 191492@tier9:customer_deposits,2393.0
DBS Group Holdings Ltd,bs.liabilities.deposits_casa,CASA deposits,2024-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,21,34 | 2754 | 5313 | 5616 | 7652 | 7914 | 8115 | 9606 | 25817 | 36359 | 48937 | 107901 | 132949 | 183165,34@tier9:customer_deposits || 2754@tier9:customer_deposits || 5313@tier9:customer_deposits || 5616@tier9:customer_deposits || 7652@tier9:customer_deposits || 7914@tier9:customer_deposits || 8115@tier9:customer_deposits || 9606@tier9:customer_deposits || 25817@tier9:customer_deposits || 36359@tier9:customer_deposits || 48937@tier9:customer_deposits || 107901@tier9:customer_deposits || 132949@tier9:customer_deposits || 183165@tier9:customer_deposits,2754.0
DBS Group Holdings Ltd,bs.assets.npa,Non-performing assets / loans,2025-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,20,544 | 1297 | 2216 | 2332 | 4452 | 4686,"544@tier9:by_loan_grading || 1297@tier9:by_loan_grading || 2216@tier9:by_industry,non_performing_assets_and_loss_allowance_coverage || 2332@tier9:by_industry,by_loan_grading,non_performing_assets_and_loss_allowance_coverage || 4452@tier9:by_industry,non_performing_assets_and_loss_allowance_coverage || 4686@tier9:by_industry,by_loan_grading,non_performing_assets_and_loss_allowance_coverage",2216.0
DBS Group Holdings Ltd,bs.assets.npa,Non-performing assets / loans,2024-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,20,576 | 1398 | 2393 | 2545 | 4780 | 5036,"576@tier9:by_loan_grading || 1398@tier9:by_loan_grading || 2393@tier9:by_industry,non_performing_assets_and_loss_allowance_coverage || 2545@tier9:by_industry,by_loan_grading,non_performing_assets_and_loss_allowance_coverage || 4780@tier9:by_industry,non_performing_assets_and_loss_allowance_coverage || 5036@tier9:by_industry,by_loan_grading,non_performing_assets_and_loss_allowance_coverage",2393.0
DBS Group Holdings Ltd,bs.liabilities.deposits_casa,CASA deposits,2022-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,18,1773 | 6455 | 11461 | 13058 | 13190 | 13397 | 37252 | 48893 | 74563 | 156159 | 161631 | 225514,1773@tier9:customer_deposits || 6455@tier9:customer_deposits || 11461@tier9:customer_deposits || 13058@tier9:customer_deposits || 13190@tier9:customer_deposits || 13397@tier9:customer_deposits || 37252@tier9:customer_deposits || 48893@tier9:customer_deposits || 74563@tier9:customer_deposits || 156159@tier9:customer_deposits || 161631@tier9:customer_deposits || 225514@tier9:customer_deposits,225514.0
DBS Group Holdings Ltd,bs.liabilities.deposits_casa,CASA deposits,2021-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,18,1822 | 7184 | 11615 | 12259 | 12729 | 14143 | 38801 | 51566 | 75715 | 155527 | 159453 | 221908,1822@tier9:customer_deposits || 7184@tier9:customer_deposits || 11615@tier9:customer_deposits || 12259@tier9:customer_deposits || 12729@tier9:customer_deposits || 14143@tier9:customer_deposits || 38801@tier9:customer_deposits || 51566@tier9:customer_deposits || 75715@tier9:customer_deposits || 155527@tier9:customer_deposits || 159453@tier9:customer_deposits || 221908@tier9:customer_deposits,221908.0
DBS Group Holdings Ltd,bs.assets.npa,Non-performing assets / loans,2024-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,16,689 | 1765 | 2355 | 2569 | 4754 | 5077,"689@tier9:by_loan_grading || 1765@tier9:by_loan_grading || 2355@tier9:by_industry,non_performing_assets_and_loss_allowance_coverage || 2569@tier9:by_industry,by_loan_grading,non_performing_assets_and_loss_allowance_coverage || 4754@tier9:by_industry,non_performing_assets_and_loss_allowance_coverage || 5077@tier9:by_industry,by_loan_grading,non_performing_assets_and_loss_allowance_coverage",2569.0
