bank,source_family,table_type_id,display_name,ordinal
DBS,performance_summary,FS_DIVIDENDS,Dividends and distributions,1
DBS,performance_summary,FS_BALANCE_SELECTED,Selected balance sheet items,2
DBS,performance_summary,FS_INCOME_SELECTED,Selected income statement items,3
DBS,performance_summary,FS_PER_SHARE,Per share data,4
DBS,performance_summary,FS_RATIOS_KEY,Key financial ratios,5
DBS,performance_summary,FS_AVG_BALANCE_SHEET,Average balance sheet,6
DBS,performance_summary,FS_NII_DETAIL,Net interest income,7
DBS,performance_summary,FS_VOLUME_RATE,Volume and rate analysis,8
DBS,performance_summary,FS_FEE_INCOME,Fee and commission income,9
DBS,performance_summary,FS_OTHER_INCOME,Other non-interest income,10
DBS,performance_summary,FS_ALLOWANCES,Allowances for credit and other losses,11
DBS,performance_summary,FS_EXPENSES_DETAIL,Operating expenses,12
DBS,performance_summary,FS_BALANCE_BY_SEGMENT,Balance sheet items by business segment,13
DBS,performance_summary,FS_PERF_BY_SEGMENT,Performance by business segment,14
DBS,performance_summary,FS_BALANCE_BY_GEOGRAPHY,Balance sheet items by geography,15
DBS,performance_summary,FS_PERF_BY_GEOGRAPHY,Performance by geography,16
DBS,performance_summary,FS_CUSTOMER_LOANS,Customer loans,17
DBS,performance_summary,FS_NPA_BY_COLLATERAL,Non-performing assets by collateral type,18
DBS,performance_summary,FS_NPA_BY_INDUSTRY,Non-performing loans by industry,19
DBS,performance_summary,FS_NPA_BY_LOAN_GRADING,Non-performing assets by loan grading,20
DBS,performance_summary,FS_NPA_BY_PERIOD_OVERDUE,Non-performing assets by period overdue,21
DBS,performance_summary,FS_NPA_COVERAGE,Non-performing assets — headline and by country,22
DBS,performance_summary,FS_CUSTOMER_DEPOSITS,Customer deposits,23
DBS,performance_summary,FS_DEBTS_ISSUED,Debts issued,24
DBS,performance_summary,FS_CAPITAL_ADEQUACY,Capital adequacy,25
DBS,performance_summary,FS_CAPITAL_MINIMUM_REQUIREMENTS,Minimum CAR including buffer requirements,26
DBS,performance_summary,FS_INCOME_CONSOLIDATED,Income statement (consolidated/statutory),27
DBS,performance_summary,FS_COMPREHENSIVE_INCOME,Statement of comprehensive income,28
DBS,performance_summary,FS_BALANCE_CONSOLIDATED,Balance sheets (consolidated/statutory),29
DBS,performance_summary,FS_EQUITY_CHANGES_GROUP,Statement of changes in equity — Group,30
DBS,performance_summary,FS_EQUITY_CHANGES_COMPANY,Statement of changes in equity — Company/Bank,31
DBS,performance_summary,FS_CASHFLOW,Cash flow statement,32
