page,y0,x0,text,font_size,bold,alignment,is_dateish
1,340.52,256.55,Pillar3andLiquidityDisclosures,16.0,True,left,False
1,379.23,367.2,30September2025,16.0,False,right,True
3,81.01,41.08,PART A: PILLAR 3DISCLOSURES,8.97,True,left,False
3,106.67,41.31,1 INTRODUCTION,8.97,True,left,False
3,353.27,40.61,2 SCOPEOFCONSOLIDATION,8.97,True,left,False
4,81.87,41.16,3 OVERVIEW OFKEY PRUDENTIALREGULATORY METRICS,8.97,True,left,False
5,82.09,41.03,4 LEVERAGE RATIO,8.97,True,left,False
7,80.57,40.67,5 OVERVIEW OFRISK-WEIGHTED ASSETS,8.97,True,left,False
7,105.93,40.82,5.1 Overview of RWA,8.97,True,left,False
8,82.05,40.98,5.2 Comparisonof ModelledandStandardisedRWAat RiskLevel,8.97,True,left,False
9,81.96,40.87,6 CREDIT RISK,8.97,True,left,False
9,106.56,40.44,6.1 IRBA- RWAFlow Statement for Credit RiskExposures,8.97,True,left,False
9,109.61,43.07,6.1IRBA-RWAFlowStatementforCreditRiskExposures,9.0,True,left,False
9,379.46,40.53,"7 COUNTERPARTY CREDIT RISK (""CCR"")",8.97,True,left,False
9,401.09,40.85,7.1 RWAFlow Statementsunder theCCR Internal ModelsMethod,8.97,True,left,False
9,467.3,40.98,8 MARKET RISK,8.97,True,left,False
9,489.08,40.5,8.1 RWAFlow Statementsof Market RiskExposuresunder IMA,8.97,True,left,False
9,565.81,40.62,9 CREDIT VALUATION ADJUSTMENT RISK,8.97,True,left,False
9,587.97,40.53,9.1 RWAFlow Statementsof CVARiskExposuresunder SA-CVA,8.97,True,left,False
10,80.78,41.08,PART B: LIQUIDITY COVERAGERATIO (“LCR”) DISCLOSURES,8.97,True,left,False
11,83.58,43.07,1.1AverageAll-CurrencyLCRfortheQuarterended30Sep2025,9.0,True,left,False
12,80.59,41.36,1.2 Average SGD LCR for the Quarter ended 30 Sep 2025 (Number of data points: 92),8.97,True,left,True
12,83.58,43.07,1.2AverageSGDLCRfortheQuarterended30Sep2025,9.0,True,left,False
13,82.0,41.66,1.3 LiquidityCoverageRatio,8.97,True,left,False
13,258.36,50.92,a) Compositionof HighQualityLiquidAssets(“HQLA”),8.97,True,left,False
13,398.34,50.85,b) Concentrationof FundingSources,8.97,True,left,False
13,492.18,50.9,c) DerivativeExposuresandPotential Collateral Calls,8.97,True,left,False
14,82.07,41.78,1.3 LiquidityCoverageRatio(continued),8.97,True,left,False
14,106.3,51.9,d) CurrencyMismatch,8.97,True,center,False
14,188.65,51.06,e) Centralizationof LiquidityManagement,8.97,True,left,False
