page,y0,x0,text,font_size,bold,alignment,is_dateish
1,90.06,71.39,To: Shareholders,11.04,False,left,False
1,159.14,69.27,TradingUpdatefortheThirdQuarterEnded 30September 2025,11.04,True,left,True
1,215.88,69.58,Dividends,11.04,True,left,False
1,537.88,69.69,By order ofthe Board,11.04,False,left,False
2,90.28,70.22,"Third-quarterprofit beforetaxup 1%to arecord SGD3.48billion, ROE at 17.1%",11.04,True,left,False
2,127.42,69.69,Nine-monthtotalincome andprofitbeforetaxreachnewhighs,11.04,True,left,False
2,554.88,70.66,Third quarter 2025vs.thirdquarter 2024,11.04,True,left,False
3,529.7,70.45,Third quarter 2025vs.second quarter 2025,11.04,True,left,False
4,152.4,69.69,Ninemonths2025vs. ninemonths2024,11.04,True,left,False
4,655.18,70.1,Balancesheet,11.04,True,left,False
