page,table_idx,x0,y0,x1,y1
5,0,52.92,140.43,572.43,533.4
6,0,52.8,141.33,569.43,587.57
7,0,52.26,117.03,570.57,392.78
8,0,52.39,243.49,570.56,745.85
9,0,53.02,118.18,571.1,719.41
10,0,53.23,101.53,571.13,708.17
11,0,53.05,95.33,570.34,370.87
12,0,53.56,153.83,571.11,739.01
13,0,53.48,116.53,571.2,752.75
14,0,53.23,117.06,571.33,744.16
15,0,53.08,116.32,571.23,744.81
16,0,53.36,116.61,571.27,745.97
17,0,53.33,116.76,571.2,729.67
18,0,53.51,117.52,433.83,743.35
19,0,52.16,152.2,570.47,309.68
20,0,52.77,173.23,571.4,687.85
21,0,52.92,117.77,570.8,278.35
22,0,52.61,140.54,571.77,612.46
23,0,52.18,159.77,570.04,441.52
23,1,52.84,594.61,569.81,692.14
24,0,53.16,139.71,570.44,265.87
24,1,52.78,300.21,570.0,428.11
25,0,52.64,140.05,570.08,400.34
25,1,53.06,415.13,570.3,671.3
26,0,53.06,153.07,570.3,412.22
26,1,53.1,439.82,570.52,694.93
27,0,52.63,150.62,571.49,722.75
28,0,52.64,117.4,570.84,577.31
29,0,52.6,118.19,571.48,715.54
30,0,52.62,116.19,570.71,713.77
31,0,52.38,250.76,570.07,402.61
32,0,52.84,177.68,569.41,378.58
32,1,52.79,406.23,569.34,601.79
33,0,52.94,174.66,570.89,330.06
33,1,52.96,356.36,570.86,511.64
34,0,52.96,153.16,570.53,257.36
34,1,52.97,268.96,570.95,362.78
34,2,52.51,448.72,570.3,769.83
35,0,52.89,212.62,570.78,378.25
35,1,52.99,401.86,570.84,566.0
36,0,53.1,166.31,570.74,494.61
37,0,52.56,120.61,571.23,699.47
38,0,52.64,116.12,571.24,695.35
39,0,52.85,245.83,570.83,422.6
39,1,52.72,447.1,570.86,630.64
40,0,52.94,153.04,570.3,444.84
41,0,52.68,176.54,570.27,347.35
41,1,52.84,442.94,570.1,614.77
42,0,52.41,155.17,570.39,415.51
42,1,52.04,425.8,570.45,686.86
43,0,52.68,162.86,569.77,332.1
45,0,53.16,132.82,570.21,534.02
46,0,53.15,132.16,571.09,534.2
50,0,52.69,129.83,572.84,666.39
51,0,52.97,129.06,572.82,441.23
52,0,52.71,130.42,572.89,666.26
53,0,53.08,129.79,573.01,440.4
54,0,52.68,116.8,571.51,717.5
55,0,52.37,116.95,569.37,726.79
56,0,52.84,115.38,569.44,369.7
