page,table_idx,x0,y0,x1,y1
5,0,47.03,82.87,544.34,678.49
6,0,47.0,81.48,542.92,219.98
7,0,50.41,82.43,548.11,670.65
8,0,49.54,81.67,545.87,219.88
10,0,45.39,93.0,550.8,481.46
11,0,46.31,85.26,543.34,320.51
12,0,47.4,94.3,539.87,235.52
12,1,46.43,390.92,539.98,573.26
13,0,46.14,90.63,539.02,264.26
13,1,46.78,403.85,546.08,624.35
14,0,45.91,84.08,553.47,571.84
15,0,44.76,83.51,542.6,500.44
17,0,47.68,94.57,546.31,684.55
18,0,49.82,90.46,550.4,446.08
20,0,45.74,92.14,543.23,614.96
21,0,46.86,101.94,547.38,708.54
22,0,46.96,73.1,547.42,298.62
22,1,45.86,525.15,545.82,672.34
23,0,45.2,71.77,546.39,187.34
24,0,46.52,92.78,547.31,581.34
25,0,44.97,93.05,547.12,251.4
26,0,46.22,92.21,546.55,471.0
27,0,45.42,97.98,543.19,461.72
28,0,45.9,94.3,544.78,616.92
29,0,41.95,95.69,551.22,626.32
30,0,44.59,111.45,556.39,563.92
31,0,46.24,109.51,548.03,472.81
32,0,46.22,85.53,546.56,707.32
33,0,49.18,190.72,546.2,482.47
33,1,46.83,611.88,537.76,682.82
34,0,60.09,136.82,547.09,232.56
34,1,61.02,252.06,547.23,305.5
