page,y0,x0,text,font_size,bold,alignment,is_dateish
1,90.34,70.0,To: Shareholders,11.04,False,left,False
1,158.9,69.1,TradingUpdatefortheThirdQuarterEnded 30September 2025,11.04,True,left,True
1,216.49,69.5,Dividends,11.04,True,left,False
1,538.64,69.72,By order ofthe Board,11.04,False,left,False
2,90.35,69.94,"Third-quarterprofit beforetaxup 1%to arecord SGD3.48billion, ROE at 17.1%",11.04,True,left,False
2,127.77,69.75,Nine-monthtotalincome andprofitbeforetaxreachnewhighs,11.04,True,left,False
2,555.61,70.14,Third quarter 2025vs.thirdquarter 2024,11.04,True,left,False
3,529.78,70.18,Third quarter 2025vs.second quarter 2025,11.04,True,left,False
4,153.42,69.81,Ninemonths2025vs. ninemonths2024,11.04,True,left,False
4,655.25,70.11,Balancesheet,11.04,True,left,False
