page,y0,x0,text,font_size,bold,alignment,is_dateish
1,205.82,111.6,DBSBANKLTD.,17.0,False,left,False
1,236.9,111.6,ANDITSSUBSIDIARIES,17.0,False,left,False
1,269.06,111.6,FINANCIALSTATEMENTS,17.0,False,left,False
3,71.98,70.25,DBSBankLtd.anditsSubsidiaries,9.96,True,left,False
3,95.62,69.71,Directors'Statement,9.96,True,left,False
3,202.32,69.79,Intheopinion oftheDirectors:,9.96,False,left,False
3,344.39,69.85,Board of Directors,9.96,True,left,False
4,72.19,70.26,Directors' interests in shares or debentures,9.96,True,left,False
4,503.13,69.88,DBSH Share Plan,9.96,True,left,False
5,71.66,69.83,Under the terms of the DBSH Share Plan:,9.96,False,left,False
6,76.21,71.88,,0.0,False,center,False
6,146.1,71.69,,0.0,False,center,False
6,216.59,71.34,,0.0,False,center,False
7,186.59,96.81,Our opinion,9.96,True,left,False
7,330.97,97.29,What wehaveaudited,9.96,False,left,False
7,479.97,97.31,Basis for opinion,9.96,True,left,False
7,586.47,96.8,Independence,9.96,False,left,False
8,93.64,47.99,,0.0,False,center,False
9,128.0,69.49,INDEPENDENT AUDITOR’S REPORT TO THE MEMBER OF DBS BANK LTD. (continued),9.96,True,left,False
9,163.53,70.15,Materiality,9.96,False,left,False
9,497.96,69.24,Howwedeveloped theaudit scope,9.96,False,left,False
10,93.98,48.09,,0.0,False,center,False
10,127.77,69.58,INDEPENDENT AUDITOR’S REPORT TO THE MEMBER OF DBS BANK LTD. (continued),9.96,True,left,False
11,127.89,69.97,INDEPENDENT AUDITOR’S REPORT TO THE MEMBER OF DBS BANK LTD. (continued),9.96,True,left,False
11,414.74,79.91,General allowances for credit losses (Stage 1 and 2 Expected Credit Loss),9.96,True,left,False
12,94.02,48.14,,0.0,False,center,False
12,164.14,80.6,Key audit matter,9.96,True,center,False
12,342.97,80.65,Goodwill,9.96,True,center,False
13,127.97,70.12,INDEPENDENT AUDITOR’S REPORT TO THE MEMBER OF DBS BANK LTD. (continued),9.96,True,left,False
13,164.38,80.83,Key audit matter,9.96,True,center,False
13,651.44,70.38,Other Information,9.96,True,left,False
14,128.29,69.56,INDEPENDENT AUDITOR’S REPORT TO THE MEMBER OF DBS BANK LTD. (continued),9.96,True,left,False
14,307.44,70.06,Responsibilities of Management and Directors for the Financial Statements,9.96,True,left,False
14,495.39,69.02,Auditor’s Responsibilities for the Audit of the Financial Statements,9.96,True,left,False
15,127.91,69.58,INDEPENDENT AUDITOR’S REPORT TO THE MEMBER OF DBS BANK LTD. (continued),9.96,True,left,False
16,81.13,49.03,,0.0,False,center,False
16,114.29,70.69,,0.0,False,center,False
23,78.33,312.21,A) GeneralAccounting Policies,9.0,True,center,False
23,143.99,55.9,1. Domicileand Activities,9.0,True,left,False
23,147.5,57.6,1.DomicileandActivities,9.0,True,left,False
23,171.69,311.68,2.5 Group Accounting,9.0,True,center,False
23,192.65,311.57,Subsidiaries,9.0,True,center,False
23,308.07,54.6,2. Summary of Significant Accounting Policies,9.0,True,left,False
23,332.22,55.55,2.1 Basis ofpreparation,9.0,True,left,False
23,335.31,57.6,2.1Basisofpreparation,9.0,True,left,False
23,380.96,311.17,Associates and Joint Ventures,9.0,True,center,False
23,477.75,55.38,2.2 Significant estimates and judgement,9.0,True,left,False
23,622.47,55.44,2.3 New oramended SFRS(I)effectivefor2022 year-end,9.0,True,left,False
23,649.61,311.75,2.6 Foreign currency treatment,9.0,True,center,False
23,670.47,311.59,Functional and presentationcurrency,9.0,True,center,False
23,694.89,55.36,2.4 New SFRS(I)and Interpretations effectivefor future periods,9.0,True,left,False
24,181.9,311.87,B) Income Statement,9.0,True,center,False
24,203.12,311.81,2.8 Incomerecognition,9.0,True,center,False
24,358.92,311.54,Fee and commission income,9.0,True,center,False
24,388.98,55.57,Foreign operations,9.0,True,left,False
24,712.36,55.65,2.7 Segment reporting,9.0,True,left,False
25,78.4,55.9,Dividendincome,9.0,True,left,False
25,230.75,55.76,C) Balance Sheet,9.0,True,left,False
25,250.69,55.5,2.9 Financial assets,9.0,True,left,False
25,253.92,57.6,2.9Financialassets,9.0,True,left,False
25,271.81,55.33,Initial recognition,9.0,True,left,False
25,396.77,55.45,Classificationandsubsequent measurement,9.0,True,left,False
25,536.02,311.9,Reclassification,9.0,True,center,False
25,597.82,311.67,Determination of fairvalue,9.0,True,center,False
26,78.48,55.55,Offsetting,9.0,True,left,False
26,150.87,55.74,Derecognition,9.0,True,left,False
26,409.63,55.68,2.10 Cash andcash equivalents,9.0,True,left,False
26,482.12,55.44,2.11 Impairment of financial assets at amortised cost and FVOCI,9.0,True,left,False
26,513.28,55.53,Expected Credit Losses (ECL),9.0,True,left,False
26,680.54,311.8,Measurementof ECL,9.0,True,center,False
27,453.09,55.37,ECL Modelling -Point-in-Time andForward-Looking Adjustments,9.0,True,left,False
27,617.2,310.92,Governanceframework,9.0,True,center,False
28,222.96,311.6,2.14 Properties and otherfixed assets,9.0,True,center,False
28,226.3,313.56,2.14Propertiesandotherfixedassets,9.0,True,center,False
28,297.18,55.51,Minimum RegulatoryLoss Allowance,9.0,True,left,False
28,421.53,55.64,2.12 Repurchase agreements,9.0,True,left,False
28,565.08,311.94,Leased properties and otherfixedassets,9.0,True,center,False
28,701.9,55.79,2.13 Goodwill,9.0,True,left,False
28,705.17,57.6,2.13Goodwill,9.0,True,left,False
29,78.58,312.03,Determination of fairvalue,9.0,True,center,False
29,109.48,55.78,2.15 Financial liabilities,9.0,True,left,False
29,112.04,57.61,2.15Financialliabilitiesbetweenmarketparticipantsatthemeasurementdate.,9.0,True,left,False
29,151.06,311.72,Derecognition,9.0,True,center,False
29,203.14,311.91,"2.16 Loan commitments, letters of credit and financial guarantees",9.0,True,center,False
29,205.64,313.56,"2.16Loancommitments,lettersofcreditand",9.0,True,center,False
29,234.09,311.71,Loan commitments,9.0,True,center,False
29,305.98,311.75,Letters ofcredit,9.0,True,center,False
29,389.07,311.85,Financial guarantees,9.0,True,center,False
29,597.72,311.93,2.17 Provisions andotherliabilities,9.0,True,center,False
30,78.5,55.35,2.18 Share capitaland otherinstrumentsclassified as equity,9.0,True,left,False
