page,table_idx,x0,y0,x1,y1
4,0,70.17,149.53,525.23,414.87
5,0,69.78,547.66,522.49,690.68
10,0,76.9,244.32,516.63,697.16
12,0,76.74,161.46,516.45,700.52
13,0,76.95,159.21,514.98,633.09
17,0,55.05,120.75,542.01,451.81
18,0,54.76,103.08,542.16,479.19
19,0,55.12,98.99,557.27,577.41
20,0,48.23,106.62,535.93,442.59
21,0,55.54,101.72,541.66,307.08
22,0,54.96,113.55,542.33,759.46
27,0,57.03,77.93,291.46,277.38
33,0,59.15,104.69,548.59,313.96
33,1,60.42,362.36,548.8,480.86
34,0,61.24,103.83,548.52,176.33
34,1,62.58,423.55,547.23,482.95
34,2,62.5,570.47,547.08,653.01
35,0,55.77,98.62,547.58,186.73
35,1,57.36,237.15,546.25,385.48
35,2,55.85,455.83,547.97,576.1
36,0,55.36,168.38,547.44,654.29
37,0,56.22,78.82,548.47,559.0
38,0,57.67,122.67,546.07,632.73
40,0,54.85,116.15,546.39,357.97
41,0,53.97,86.27,549.61,211.03
41,1,54.44,229.13,546.59,298.1
41,2,55.03,329.5,546.14,444.51
42,0,54.28,99.83,548.69,718.51
43,0,54.48,79.27,547.22,719.07
45,0,55.23,128.23,547.08,513.28
46,0,55.38,79.03,546.71,437.53
46,1,55.23,556.88,547.25,641.6
47,0,54.57,101.18,548.29,181.4
47,1,54.57,244.84,547.48,336.14
47,2,53.94,395.28,548.0,620.29
48,0,55.01,402.55,544.68,505.76
49,0,53.15,100.84,546.85,208.19
49,1,54.35,336.61,544.43,603.23
50,0,52.72,82.22,550.64,218.93
50,1,55.57,257.39,546.02,431.68
50,2,54.87,569.35,545.04,610.31
51,0,53.65,81.07,551.32,411.51
51,1,54.83,452.68,549.12,525.09
52,0,55.24,292.45,546.25,436.21
52,1,56.01,536.39,546.02,595.47
53,0,53.85,412.65,551.01,616.05
54,0,50.25,82.43,551.12,177.94
54,1,53.35,421.49,547.33,599.48
55,0,54.51,104.93,547.66,246.16
55,1,54.9,359.57,547.47,493.29
55,2,56.72,529.53,546.77,653.13
56,0,56.53,97.81,547.52,217.51
56,1,57.07,443.96,547.83,545.25
56,2,55.31,633.21,547.27,710.1
57,0,56.61,179.48,546.44,297.96
57,1,57.11,472.44,547.76,587.88
58,0,56.29,98.75,548.44,561.67
59,0,56.28,98.8,547.49,410.99
59,1,57.5,442.11,545.83,599.45
60,0,56.18,137.6,548.09,338.53
61,0,55.33,177.34,545.86,506.48
62,0,55.77,378.92,547.43,617.2
63,0,55.79,79.24,548.08,708.47
65,0,54.76,245.17,547.8,580.02
67,0,56.34,118.95,548.21,703.46
68,0,56.58,98.03,547.19,409.44
69,0,56.25,349.42,547.91,745.38
70,0,56.1,476.67,546.9,647.79
71,0,56.51,148.51,547.79,586.74
71,1,56.34,648.36,547.06,773.11
72,0,56.4,77.82,547.28,213.82
72,1,55.78,265.38,547.17,361.53
72,2,56.67,589.37,546.89,661.05
73,0,55.93,128.7,547.36,254.31
73,1,55.62,284.71,547.05,409.62
75,0,56.07,242.57,559.96,508.31
76,0,57.29,77.81,547.05,343.26
79,0,332.73,139.78,549.51,681.51
80,0,315.18,77.49,537.89,298.55
80,1,57.85,480.57,279.3,608.49
82,0,61.24,159.79,539.26,311.62
82,1,61.84,324.23,539.2,359.3
83,0,55.93,97.59,540.41,257.86
83,1,57.07,311.66,540.43,712.3
84,0,56.52,88.14,540.7,341.95
84,1,56.03,369.07,540.75,461.47
84,2,55.81,483.63,541.06,566.67
85,0,56.03,125.79,541.08,352.0
86,0,56.79,94.79,540.42,303.87
86,1,56.15,339.43,540.62,714.4
88,0,57.22,162.06,534.74,271.71
88,1,56.61,293.47,535.2,379.27
91,0,56.46,134.91,541.59,720.97
92,0,55.58,128.31,534.04,303.41
96,0,55.08,96.37,532.8,601.11
97,0,60.05,158.07,532.68,663.37
