page,y0,x0,text,font_size,bold,alignment,is_dateish
1,338.02,262.56,Pillar3andLiquidityDisclosures,15.2,False,left,False
1,376.78,371.76,31December2022,15.2,False,right,True
4,89.2,51.2,PART A: PILLAR3DISCLOSURES,8.52,False,left,False
4,113.1,51.6,1 INTRODUCTION,8.52,False,left,False
4,345.28,51.33,2 SCOPE OF CONSOLIDATION,8.52,False,left,False
4,438.78,51.51,3 DISCLOSURE POLICY,8.52,False,left,False
5,90.0,50.76,4 OVERVIEW OF KEY PRUDENTIAL REGULATORY METRICS,8.52,False,left,False
8,89.82,51.32,5.2 Capital Adequacyand Reconciliation of RegulatoryCapital totheBalanceSheet,8.52,False,left,False
12,90.47,50.65,5.3 Main Features of Capital Instruments,8.52,False,left,False
12,816.82,549.22,A-9,9.0,False,right,False
13,90.22,51.55,5.3 Main Features of Capital Instruments (continued),8.52,False,left,False
13,816.82,544.18,A-10,9.0,False,right,False
14,90.25,51.6,5.3 Main Features of Capital Instruments (continued),8.52,False,left,False
14,816.82,544.18,A-11,9.0,False,right,False
15,90.25,51.56,5.3 Main Features of Capital Instruments (continued),8.52,False,left,False
15,816.82,544.18,A-12,9.0,False,right,False
16,90.28,51.55,5.3 Main Features of Capital Instruments (continued),8.52,False,left,False
16,816.82,544.18,A-13,9.0,False,right,False
17,90.27,51.53,5.3 Main Features of Capital Instruments (continued),8.52,False,left,False
17,816.82,544.18,A-14,9.0,False,right,False
18,90.34,51.67,5.3 Main Features of Capital Instruments (continued),8.52,False,left,False
18,816.82,544.18,A-15,9.0,False,right,False
20,89.9,50.47,6.2 MainSources of DifferencesbetweenRegulatoryExposureAmountsand Carrying Amountsin Financial Statements,8.52,False,left,False
20,383.27,50.57,6.3 QualitativeDisclosureof Differencesbetween Carrying Amountsin Financial Statementsand Regulatory ExposureAmounts,8.52,False,left,False
21,90.08,50.59,6.3 QualitativeDisclosureof Differencesbetween Carrying Amountsin Financial Statementsand Regulatory ExposureAmounts(continued),8.52,False,left,False
21,125.6,51.23,ValuationProcess,8.52,False,left,False
22,89.97,51.59,6.4 Prudent Valuation Adjustments,8.52,False,left,False
23,89.49,51.03,7 MACROPRUDENTIAL SUPERVISORY MEASURES,8.52,False,left,False
23,113.59,50.79,7.1 Geographical Distributionof Credit Exposuresused in theCountercyclical Capital Buffer,8.52,False,left,False
24,89.75,51.38,7.2 DISCLOSURE OF G-SIB INDICATORS,8.52,False,left,False
25,89.93,51.97,8 LEVERAGE RATIO,8.52,False,left,False
25,89.98,81.77,LEVERAGE RATIO,8.52,False,center,False
27,89.01,51.49,9 RISK MANAGEMENT APPROACH,8.52,False,left,False
27,89.2,82.11,RISK MANAGEMENT APPROACH,8.52,False,center,False
27,506.07,81.66,Product Approval Committee (PAC),7.56,False,center,False
28,89.18,51.57,9 RISK MANAGEMENT APPROACH (CONTINUED),8.52,False,left,False
30,90.01,51.6,11 CREDIT RISK,8.52,False,left,False
30,113.47,52.08,11.1 Qualitative Disclosures,8.52,False,left,False
30,136.47,51.66,11.1.1 General QualitativeDisclosures,8.52,False,left,False
31,89.49,51.9,11.1.2 Qualitative Disclosuresrelatedto CRMTechniques,8.52,False,left,False
31,529.65,51.36,11.1.3 QualitativeDisclosuresontheuse of External Credit Ratingsunder SA(CR),8.52,False,left,False
32,89.56,52.02,11.1.4 Qualitative DisclosuresforIRBAModels,8.52,False,left,False
32,409.11,51.03,Retail Portfolios,8.52,False,left,False
33,89.54,51.98,11.1.4 Qualitative DisclosuresforIRBAModels(continued),8.52,False,left,False
33,112.79,50.84,WholesalePortfolios,8.52,False,left,False
