page,table_idx,x0,y0,x1,y1
1,0,67.36,432.89,538.54,669.28
2,0,69.22,105.4,542.78,351.84
3,0,68.46,423.1,546.39,668.16
5,0,71.6,103.73,544.61,344.49
6,0,69.39,107.42,541.75,293.19
7,0,70.0,116.98,541.11,166.65
9,0,69.68,118.86,546.77,574.81
10,0,69.27,108.95,544.48,497.51
11,0,69.43,157.21,541.72,358.13
11,1,69.04,437.12,536.22,682.29
12,0,69.59,130.3,550.35,532.88
13,0,69.69,131.14,550.18,308.44
13,1,69.64,365.17,550.04,551.54
14,0,69.17,131.77,547.73,596.13
15,0,69.72,132.0,540.41,584.99
16,0,69.48,131.93,531.36,584.77
17,0,69.47,125.75,547.38,407.76
18,0,69.46,237.75,546.89,442.32
19,0,69.67,191.24,541.25,295.85
