page,y0,x0,text,font_size,bold,alignment,is_dateish
1,83.49,70.88,MediaRelease,16.0,False,left,False
1,133.82,178.59,OCBCGroupFirstHalf2022NetProfit,14.0,True,center,False
1,149.88,178.59,Rose7%toNewHighofS$2.84billion,14.0,True,center,False
1,606.28,69.02,1H22 Year-on-Year Performance,9.96,True,left,False
2,264.59,68.89,Second Quarter 2022 Performance,11.99,True,left,False
2,557.27,69.02,2Q22 Year-on-Year Performance,9.95,True,left,False
3,496.94,68.8,2Q22Quarter-on-Quarter Performance,9.95,True,left,False
5,499.18,69.14,Dividend,11.99,True,left,False
6,81.4,72.15,"Message from Group CEO, Helen Wong",11.03,True,left,False
7,82.89,70.88,FINANCIALHIGHLIGHTS,12.0,True,left,False
9,81.97,68.97,FINANCIAL HIGHLIGHTS (continued),11.99,True,left,False
9,105.61,68.92,NET INTEREST INCOME,11.03,True,left,False
10,82.07,69.26,FINANCIAL HIGHLIGHTS (continued),11.99,True,left,False
14,82.07,69.09,FINANCIAL HIGHLIGHTS (continued),11.99,True,left,False
15,81.93,68.99,FINANCIAL HIGHLIGHTS (continued),11.99,True,left,False
15,104.58,69.48,DEPOSITS,11.03,True,left,False
15,414.54,68.31,CAPITAL ADEQUACY RATIOS 1/,11.03,True,left,False
16,82.23,69.14,FINANCIAL HIGHLIGHTS (continued),11.99,True,left,False
16,105.45,68.92,PERFORMANCE BY BUSINESS SEGMENT,11.03,True,left,False
16,310.04,69.11,Global Consumer/Private Banking,9.0,True,left,False
16,467.94,69.43,Global Wholesale Banking,9.0,True,left,False
17,82.42,69.28,FINANCIAL HIGHLIGHTS (continued),11.99,True,left,False
17,105.85,69.1,PERFORMANCE BY BUSINESS SEGMENT (continued),11.03,True,left,False
17,128.52,69.27,Global Treasury and Markets,9.0,True,left,False
17,271.74,69.51,Insurance,9.0,True,left,False
17,440.34,69.48,Others,9.0,True,left,False
18,82.37,68.57,About OCBC Bank,14.03,True,left,False
