page,table_idx,x0,y0,x1,y1
1,0,69.53,340.15,520.67,584.98
2,0,69.31,288.9,524.63,541.68
4,0,69.54,106.98,523.95,325.99
5,0,69.21,109.92,524.16,241.11
5,1,70.96,521.37,524.05,590.83
7,0,69.98,103.79,547.01,540.2
8,0,69.83,102.98,543.28,490.84
9,0,69.14,152.84,541.4,352.92
9,1,68.9,433.55,535.98,678.6
10,0,69.41,124.66,550.31,505.07
11,0,69.76,126.15,549.72,302.37
11,1,69.23,349.61,549.48,535.89
12,0,69.46,125.53,547.44,591.15
13,0,69.4,126.05,540.6,579.05
14,0,69.58,127.02,531.18,572.57
15,0,69.41,120.83,546.79,403.14
15,1,69.29,469.85,546.23,673.39
16,0,69.51,186.46,541.05,287.63
