page,table_idx,x0,y0,x1,y1
4,0,70.37,99.3,542.46,616.96
5,0,70.37,92.34,543.77,460.08
6,0,70.01,83.69,541.19,747.42
7,0,70.06,92.22,576.33,626.62
8,0,70.13,96.44,576.01,628.35
9,0,69.04,102.35,550.98,414.76
10,0,70.14,92.27,538.72,703.84
12,0,70.41,527.77,530.25,600.89
13,0,68.74,339.62,532.11,496.7
13,1,68.99,532.57,531.83,675.1
14,0,68.24,107.99,531.59,199.49
14,1,67.19,236.87,531.74,339.26
14,2,67.99,377.67,529.71,467.02
14,3,68.97,507.35,530.4,667.86
15,0,68.08,99.98,532.5,329.58
15,1,68.82,503.76,527.69,615.68
16,0,66.35,102.98,528.1,281.99
16,1,66.87,319.56,528.2,400.87
17,0,75.68,171.44,520.78,668.77
18,0,76.11,131.93,527.06,489.06
20,0,69.04,144.13,525.02,442.59
20,1,69.37,483.55,524.74,592.98
23,0,79.11,170.97,538.87,484.08
24,0,69.38,155.58,526.51,368.28
24,1,68.99,394.37,526.92,615.37
25,0,69.13,157.14,536.59,314.85
25,1,68.89,337.21,536.5,481.57
25,2,68.72,516.46,537.0,716.4
26,0,65.3,147.43,524.76,321.43
