page,table_idx,x0,y0,x1,y1
4,0,68.78,113.63,547.03,618.08
5,0,69.69,103.41,544.21,476.33
6,0,70.25,102.92,541.76,695.33
7,0,71.12,93.01,574.25,677.17
8,0,70.69,93.23,573.95,728.97
9,0,71.15,102.27,540.78,514.83
10,0,70.14,85.45,546.62,711.77
13,0,83.92,180.18,539.43,241.17
13,1,85.37,418.26,542.76,573.72
13,2,85.63,623.82,542.55,714.82
14,0,85.49,108.26,542.54,285.99
14,1,85.38,330.8,542.24,422.22
14,2,85.14,466.16,542.36,579.38
14,3,85.5,625.43,542.56,716.87
15,0,83.14,107.18,538.54,260.69
15,1,85.09,302.3,538.68,545.66
16,0,82.54,107.42,541.56,219.6
16,1,82.66,268.86,541.87,432.25
16,2,82.76,470.86,541.89,550.09
17,0,83.96,135.92,539.56,568.66
18,0,83.83,135.77,539.76,582.79
19,0,83.83,133.91,545.5,487.32
21,0,83.74,145.99,540.93,456.57
21,1,83.51,488.49,538.57,598.4
24,0,83.8,169.89,545.59,507.37
25,0,83.73,154.28,541.19,405.96
25,1,83.42,455.7,539.34,652.18
26,0,83.33,157.58,539.22,354.8
26,1,82.71,387.76,538.99,565.02
27,0,83.08,147.76,535.32,325.25
33,0,69.79,129.1,529.84,678.62
34,0,68.16,133.18,526.47,589.54
35,0,70.04,130.36,530.22,490.86
