page,table_idx,x0,y0,x1,y1
1,0,66.86,514.38,539.69,752.8
2,0,69.09,104.89,542.67,399.32
4,0,69.45,105.06,545.46,406.45
6,0,71.53,103.64,544.57,344.67
7,0,69.08,107.34,545.67,293.05
8,0,69.36,116.01,540.56,271.86
10,0,70.21,113.3,546.78,606.97
11,0,69.55,109.07,544.74,522.64
12,0,69.43,107.36,558.53,537.55
13,0,69.03,157.33,546.56,349.83
13,1,69.37,440.58,550.32,675.26
14,0,69.47,130.0,547.66,547.83
15,0,69.52,131.47,546.21,318.4
15,1,69.53,373.8,546.27,548.92
16,0,69.25,131.56,545.65,615.96
17,0,69.53,132.18,544.43,554.78
18,0,69.0,132.27,542.49,581.09
19,0,69.37,124.7,545.28,436.69
20,0,69.58,235.71,544.11,440.73
21,0,69.69,191.38,541.88,295.91
