pageA,idxA,pageB,idxB,cross_page,verdict,detail
1,0,2,0,1,NEW_TABLE,break:text-between:Full Year 2025 Performance
2,0,4,0,1,NEW_TABLE,non-adjacent pages
4,0,6,0,1,NEW_TABLE,non-adjacent pages
6,0,7,0,1,NEW_TABLE,cols differ
7,0,8,0,1,NEW_TABLE,cols differ
8,0,10,0,1,NEW_TABLE,non-adjacent pages
10,0,11,0,1,NEW_TABLE,cols differ
11,0,12,0,1,NEW_TABLE,cols differ
12,0,13,0,1,NEW_TABLE,cols differ
13,0,13,1,0,NEW_TABLE,cols differ
13,1,14,0,1,NEW_TABLE,cols differ
14,0,15,0,1,NEW_TABLE,cols differ
15,0,15,1,0,NEW_TABLE,break:text-between:ALLOWANCES FOR LOANS AND OTHER ASSETS
15,1,16,0,1,NEW_TABLE,cols differ
16,0,17,0,1,NEW_TABLE,cols differ
17,0,18,0,1,NEW_TABLE,cols differ
18,0,19,0,1,NEW_TABLE,cols differ
19,0,20,0,1,NEW_TABLE,break:heading:FINANCIAL HIGHLIGHTS (continued)
20,0,21,0,1,NEW_TABLE,cols differ
