page,y0,x0,text,font_size,bold,alignment,is_dateish
1,69.36,112.97,UOB’s1Q25netprofitstableYoYatS$1.5billion,14.0,True,center,False
1,445.14,115.0,Navigating uncertainties from position of strength,14.04,True,center,False
1,475.37,148.46,“,28.0,True,center,False
1,659.45,248.52,”,28.0,True,center,False
2,77.1,199.07,Financial performance,12.96,True,center,False
2,333.56,31.33,1Q25 versus 4Q24,9.48,True,left,False
2,527.23,31.43,1Q25 versus 1Q24,9.48,True,left,False
3,78.96,232.82,Assetquality,12.0,True,center,False
3,396.77,167.71,"Capital,fundingandliquiditypositions",12.0,True,center,False
4,27.06,283.01,FirstQuarter2025PerformanceHighlights,11.0,True,right,False
4,40.26,446.23,7May2025,11.0,True,right,True
