page,table_idx,x0,y0,x1,y1
4,0,72.78,115.49,420.84,478.46
5,0,70.31,118.37,544.2,597.49
6,0,70.39,108.6,544.06,481.89
8,0,178.25,147.58,552.57,331.19
8,1,70.91,380.65,441.73,598.58
9,0,273.85,115.16,540.96,427.27
10,0,273.57,120.81,541.68,368.69
11,0,71.81,131.89,542.89,358.62
12,0,70.28,107.48,543.43,583.63
13,0,292.26,118.98,553.89,690.99
14,0,70.77,113.17,543.38,642.8
15,0,324.31,120.09,538.54,480.32
16,0,70.29,115.1,543.92,701.85
17,0,70.53,119.49,549.06,564.31
19,0,70.59,104.08,543.73,689.19
21,0,69.77,117.5,543.4,484.82
22,0,70.94,98.18,543.78,609.13
23,0,70.33,92.28,543.97,574.26
24,0,288.21,94.0,559.24,688.35
25,0,222.78,126.38,547.66,632.96
26,0,288.69,112.9,527.01,562.83
27,0,70.53,94.24,536.27,737.5
29,0,385.03,119.88,482.23,181.95
29,1,46.07,234.15,482.53,626.38
30,0,384.99,89.02,482.48,202.67
30,1,45.8,297.61,537.32,638.17
31,0,46.25,104.79,537.69,440.67
32,0,46.37,326.93,536.46,662.43
33,0,46.43,125.75,536.5,469.36
34,0,45.75,82.46,483.77,261.8
