page,table_idx,x0,y0,x1,y1
4,0,70.73,114.49,425.88,515.41
5,0,70.27,112.5,555.71,576.42
6,0,70.56,99.97,552.05,464.24
8,0,181.47,146.85,558.19,328.96
8,1,71.32,385.11,447.71,589.19
9,0,265.23,111.75,528.09,402.18
10,0,70.08,111.89,534.75,366.59
11,0,71.86,117.38,519.31,340.2
12,0,69.6,111.24,526.97,590.39
13,0,292.78,108.2,557.31,680.06
14,0,71.04,107.85,538.89,639.67
15,0,70.64,125.27,534.17,488.48
16,0,70.31,114.53,543.78,688.77
17,0,70.56,117.23,543.81,548.3
20,0,249.39,120.54,553.55,711.03
23,0,69.78,116.66,533.97,478.8
24,0,70.41,98.63,537.2,606.87
25,0,70.43,92.36,524.86,559.58
26,0,69.91,91.49,553.29,694.5
27,0,73.56,119.33,534.3,586.48
28,0,71.02,96.79,539.28,556.98
29,0,70.5,88.92,528.94,747.92
31,0,64.64,122.97,561.93,183.45
31,1,64.04,233.47,562.25,641.64
32,0,64.38,87.53,562.55,202.9
32,1,64.67,297.73,562.51,656.23
33,0,64.7,108.3,562.25,466.74
34,0,68.41,346.59,565.16,675.21
35,0,68.84,128.29,565.01,459.87
36,0,51.2,69.19,562.75,268.38
