page,table_idx,x0,y0,x1,y1
2,0,71.16,375.62,533.84,492.89
4,0,71.89,110.16,422.36,506.6
5,0,263.71,114.42,563.9,335.17
5,1,269.74,378.93,560.23,438.73
5,2,69.71,474.2,533.32,626.62
6,0,69.48,127.63,532.29,462.52
8,0,185.67,147.74,426.95,343.63
8,1,184.34,381.92,548.53,579.34
9,0,188.73,143.75,309.99,354.96
9,1,188.59,390.72,435.35,620.28
10,0,70.72,101.99,542.46,411.77
11,0,236.72,117.81,547.99,355.41
12,0,71.09,114.77,546.2,346.48
13,0,69.84,115.69,546.52,618.65
14,0,311.45,107.03,559.72,723.52
15,0,70.6,106.1,549.66,636.73
16,0,306.15,118.58,527.49,490.0
17,0,70.83,129.54,555.77,526.4
18,0,70.95,126.33,558.98,716.97
19,0,70.71,126.06,559.69,573.19
22,0,250.91,122.66,556.73,322.85
22,1,251.17,381.04,555.74,544.22
23,0,252.96,120.54,561.39,721.29
26,0,69.99,104.84,532.15,468.05
27,0,294.92,110.42,542.88,616.75
28,0,327.71,92.5,557.17,591.6
29,0,300.48,104.09,549.83,722.78
30,0,70.7,111.18,548.7,626.15
31,0,294.52,103.09,553.8,565.06
32,0,403.03,99.87,551.86,764.36
34,0,273.31,119.78,486.82,181.71
34,1,46.48,231.08,487.11,612.68
35,0,52.58,93.36,500.06,213.22
35,1,57.51,330.68,551.22,694.53
36,0,46.34,105.56,539.32,464.36
37,0,58.32,358.41,550.25,685.83
38,0,46.34,124.06,538.36,457.5
39,0,45.69,82.77,488.49,266.65
42,0,71.19,99.92,548.59,607.69
43,0,70.73,99.24,548.42,477.53
