bank,period,subtype,target,status,bytes
DBS,4Q02,bank_group_fs,DBS_4Q02_bank_group_fs.pdf,ok,286807
DBS,4Q12,bank_group_fs,DBS_4Q12_bank_group_fs.pdf,ok,1458254
DBS,1Q22,pillar3,DBS_1Q22_pillar3.pdf,ok,221720
DBS,1Q22,trading_update,DBS_1Q22_trading_update.pdf,ok,222933
DBS,2Q22,pillar3,DBS_2Q22_pillar3.pdf,ok,798365
DBS,2Q22,performance_summary,DBS_2Q22_performance_summary.pdf,ok,759574
DBS,3Q22,pillar3,DBS_3Q22_pillar3.pdf,ok,550371
DBS,3Q22,trading_update,DBS_3Q22_trading_update.pdf,ok,321097
DBS,4Q22,pillar3,DBS_4Q22_pillar3.pdf,ok,4091263
DBS,4Q22,performance_summary,DBS_4Q22_performance_summary.pdf,ok,891600
DBS,4Q22,bank_group_fs,DBS_4Q22_bank_group_fs.pdf,ok,1965407
OCBC,2Q22,condensed_interim,OCBC_2Q22_condensed_interim.pdf,ok,536792
OCBC,2Q22,media_release_highlights,OCBC_2Q22_media_release_highlights.pdf,ok,174864
OCBC,1Q22,results_highlights,OCBC_1Q22_results_highlights.pdf,ok,485051
OCBC,1Q22,press_release,OCBC_1Q22_press_release.pdf,ok,181936
OCBC,3Q22,results_highlights,OCBC_3Q22_results_highlights.pdf,ok,1006002
OCBC,3Q22,press_release,OCBC_3Q22_press_release.pdf,ok,202114
OCBC,4Q22,condensed_interim,OCBC_4Q22_condensed_interim.pdf,ok,1616338
OCBC,4Q22,media_release_highlights,OCBC_4Q22_media_release_highlights.pdf,ok,307660
