bank,concept_key,section,display,1Q23,2Q23,3Q23,4Q23,1Q24,2Q24,3Q24,4Q24,1Q25,2Q25,3Q25,4Q25,1Q26,2Q26,3Q26,4Q26,1H23,2H23,1H24,2H24,1H25,2H25,1H26,2H26,FY23,FY24,FY25,FY26,notes
DBS,pnl.nii.net,Selected income statement items ($m),Net interest income,3271,3433,3504,3434,3505,3594,3597,3728,3681,3648,3578,3593,,,,,6704,6938,7099,7325,7329,7171,,,13642,14424,14500,,
OCBC,pnl.nii.net,Selected income statement items ($m),Net interest income,2338,2389,2456,,2437,2430,2433,,2345,2283,2226,,,,,,4727,4918,4867,4888,4628,4522,,,9645,9755,9150,,
UOB,pnl.nii.net,Selected income statement items ($m),Net interest income,2409,2437,2429,,2362,2401,2460,,2409,2336,2265,,,,,,4846,4833,4763,4911,4745,4611,,,9679,9674,9355,,
DBS,pnl.noninterest.fee_commission,Selected income statement items ($m),Net fee and commission income,851,823,843,867,1043,1048,1109,968,1275,1167,1357,1099,,,,,1674,1710,2091,2077,2442,2456,,,3384,4168,4898,,OCBC media release shows N/A for halves; use CONSOLIDATED INCOME STATEMENT
OCBC,pnl.noninterest.fee_commission,Selected income statement items ($m),Net fee and commission income,1012,1066,973,,1189,1199,1369,,1310,1264,1570,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,1804,1970,2411,,OCBC media release shows N/A for halves; use CONSOLIDATED INCOME STATEMENT
UOB,pnl.noninterest.fee_commission,Selected income statement items ($m),Net fee and commission income,552,524,591,,580,618,630,,694,636,615,,,,,,1075,1159,1198,1197,1330,1239,,,2235,2395,2569,,OCBC media release shows N/A for halves; use CONSOLIDATED INCOME STATEMENT
DBS,pnl.noninterest.other,Selected income statement items ($m),Other non-interest income,814,789,845,706,1009,840,1047,809,949,917,997,639,,,,,1603,1551,1849,1856,1866,1636,,,3154,3705,3502,,DBS derived (Commercial+Markets); OCBC derived (Non-II minus Net fee); UOB direct
OCBC,pnl.noninterest.other,Selected income statement items ($m),Other non-interest income,3350,3455,3429,,3626,3629,3802,,3655,3547,3796,,,,,,2078,1784,2388,2330,2574,2890,,,3862,4718,5464,,DBS derived (Commercial+Markets); OCBC derived (Non-II minus Net fee); UOB direct
UOB,pnl.noninterest.other,Selected income statement items ($m),Other non-interest income,563,581,436,,581,457,744,,554,493,518,,,,,,1144,875,1038,1187,1047,837,,,2018,2225,1884,,DBS derived (Commercial+Markets); OCBC derived (Non-II minus Net fee); UOB direct
DBS,pnl.income.total,Selected income statement items ($m),Total income,4936,5045,5192,5007,5557,5482,5753,5505,5905,5732,5932,5331,,,,,9981,10199,11039,11258,11637,11263,,,20180,22297,22900,,
OCBC,pnl.income.total,Selected income statement items ($m),Total income,1244,1329,1340,,1346,1373,1463,,1415,1389,1519,,,,,,6805,6702,7255,7218,7202,7412,,,13507,14473,14614,,
UOB,pnl.income.total,Selected income statement items ($m),Total income,3524,3542,3457,,3523,3476,3834,,3657,3465,3398,,,,,,7065,6867,6998,7295,7121,6687,,,13932,14294,13808,,
DBS,pnl.opex.total,Selected income statement items ($m),Operating expenses,1882,1931,2038,2205,2079,2172,2249,2395,2214,2270,2393,2372,,,,,3813,4243,4251,4644,4484,4765,,,8056,8895,9249,,
OCBC,pnl.opex.total,Selected income statement items ($m),Operating expenses,2106,2126,2089,,2280,2256,2339,,2240,2158,2277,,,,,,2573,2650,2719,3023,2804,3078,,,5223,5742,5882,,
UOB,pnl.opex.total,Selected income statement items ($m),Operating expenses,1440,1448,1416,,1475,1452,1626,,1559,1535,1535,,,,,,2889,2889,2926,3205,3095,3062,,,5778,6310,6157,,
DBS,pnl.profit.operating,Selected income statement items ($m),Operating profit,3054,3114,3154,2802,3478,3310,3504,3110,3691,3462,3539,2959,,,,,6168,5956,6788,6614,7153,6498,,,12124,13402,13651,,DBS may pull Reported variant (minus -100 CSR at some periods)
OCBC,pnl.profit.operating,Selected income statement items ($m),Operating profit,25,26,26,,25,22,7,,5,6,5,,,,,,4232,4052,4536,4195,4398,4334,,,8284,8731,8732,,DBS may pull Reported variant (minus -100 CSR at some periods)
UOB,pnl.profit.operating,Selected income statement items ($m),Operating profit,2083,2093,2041,,2048,2024,2208,,2097,1929,1863,,,,,,4177,3978,4072,4090,4027,3625,,,8154,7984,7651,,DBS may pull Reported variant (minus -100 CSR at some periods)
DBS,pnl.opex.amortisation_intangibles,Selected income statement items ($m),Amortisation of intangible assets,0,0,0,9,6,6,6,5,6,6,6,5,,,,,0,9,12,11,12,11,,,9,23,23,,
OCBC,pnl.opex.amortisation_intangibles,Selected income statement items ($m),Amortisation of intangible assets,56,52,220,,180,154,37,,94,65,140,,,,,,51,52,47,12,11,10,,,103,59,21,,
UOB,pnl.opex.amortisation_intangibles,Selected income statement items ($m),Amortisation of intangible assets,5,5,7,,7,7,7,,7,9,7,,,,,,10,14,13,15,16,14,,,24,28,31,,
DBS,pnl.provisions.total,Selected income statement items ($m),Allowances for credit and other losses,161,72,215,142,135,148,130,209,325,133,124,209,,,,,233,357,283,339,458,333,,,590,622,791,,OCBC media release shows N/A for halves; use CONSOLIDATED INCOME STATEMENT
