
bank,year,quarter,period,family,doc_type,target_filename,folder,availability,have(y/n),file_notes,source_url
DBS,2021,1,1Q21,fs,performance_highlights,DBS_1Q21_performance_highlights.pdf,financial_statements,available,,,https://www.dbs.com/investors/financials/quarterly-financials
DBS,2021,1,1Q21,pillar3,pillar3,DBS_1Q21_pillar3.pdf,pillar3,available,,,https://www.dbs.com/investors/financials/quarterly-financials
DBS,2021,2,2Q21,fs,condensed_interim,DBS_2Q21_condensed_interim.pdf,financial_statements,available,,,https://www.dbs.com/investors/financials/quarterly-financials
DBS,2021,2,2Q21,pillar3,pillar3,DBS_2Q21_pillar3.pdf,pillar3,available,,,https://www.dbs.com/investors/financials/quarterly-financials
DBS,2021,3,3Q21,fs,performance_highlights,DBS_3Q21_performance_highlights.pdf,financial_statements,available,,,https://www.dbs.com/investors/financials/quarterly-financials
DBS,2021,3,3Q21,pillar3,pillar3,DBS_3Q21_pillar3.pdf,pillar3,available,,,https://www.dbs.com/investors/financials/quarterly-financials
DBS,2021,4,4Q21,fs,condensed_interim,DBS_4Q21_condensed_interim.pdf,financial_statements,available,,,https://www.dbs.com/investors/financials/quarterly-financials
DBS,2021,4,4Q21,pillar3,pillar3,DBS_4Q21_pillar3.pdf,pillar3,available,,,https://www.dbs.com/investors/financials/quarterly-financials
DBS,2022,1,1Q22,fs,performance_highlights,DBS_1Q22_performance_highlights.pdf,financial_statements,available,y,DBS_1Q22_trading_update,https://www.dbs.com/investors/financials/quarterly-financials
DBS,2022,1,1Q22,pillar3,pillar3,DBS_1Q22_pillar3.pdf,pillar3,available,,,https://www.dbs.com/investors/financials/quarterly-financials
DBS,2022,2,2Q22,fs,condensed_interim,DBS_2Q22_condensed_interim.pdf,financial_statements,available,y,DBS_2Q22_performance_summary,https://www.dbs.com/investors/financials/quarterly-financials
DBS,2022,2,2Q22,pillar3,pillar3,DBS_2Q22_pillar3.pdf,pillar3,available,,,https://www.dbs.com/investors/financials/quarterly-financials
DBS,2022,3,3Q22,fs,performance_highlights,DBS_3Q22_performance_highlights.pdf,financial_statements,available,y,DBS_3Q22_trading_update,https://www.dbs.com/investors/financials/quarterly-financials
DBS,2022,3,3Q22,pillar3,pillar3,DBS_3Q22_pillar3.pdf,pillar3,available,,,https://www.dbs.com/investors/financials/quarterly-financials
DBS,2022,4,4Q22,fs,condensed_interim,DBS_4Q22_condensed_interim.pdf,financial_statements,available,y,DBS_4Q22_performance_summary,https://www.dbs.com/investors/financials/quarterly-financials
DBS,2022,4,4Q22,pillar3,pillar3,DBS_4Q22_pillar3.pdf,pillar3,available,,,https://www.dbs.com/investors/financials/quarterly-financials
DBS,2023,1,1Q23,fs,performance_highlights,DBS_1Q23_performance_highlights.pdf,financial_statements,available,,,https://www.dbs.com/investors/financials/quarterly-financials
DBS,2023,1,1Q23,pillar3,pillar3,DBS_1Q23_pillar3.pdf,pillar3,available,,,https://www.dbs.com/investors/financials/quarterly-financials
DBS,2023,2,2Q23,fs,condensed_interim,DBS_2Q23_condensed_interim.pdf,financial_statements,available,,,https://www.dbs.com/investors/financials/quarterly-financials
